network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.0,0.4472135954999579,,0.0,0.0,0.0
Brysting_2007,0.0,,,0.5477225575051661,0.0,0.0
Diaz-Perez_2018,0.0,,,,,
Ding_2023,0.5477225575051661,0.4472135954999579,,1.0954451150103324,0.0,0.0
Hori_2014,0.5477225575051662,,,0.0,0.0,0.0
Koenen_2020,0.447213595499958,0.4472135954999579,0.0,0.0,0.0,0.0
Lawrence_2016,0.0,,,0.0,0.0,0.0
Liang_2019,0.0,,,0.0,0.0,0.0
Liu_2023,0.0,0.5773502691896257,,0.0,0.0,0.0
Marcussen_2011,0.44721359549995804,,,,,
Marcussen_2012,0.0,,,,,
Marcussen_2015,0.5477225575051662,,,,,0.0
Morales-Briones_2021,,,,,,0.7071067811865476
Popp_2005,0.0,,0.0,0.0,0.0,0.0
Ren_2024,0.0,,,0.0,0.0,0.0
Sessa_2012b,0.0,,,0.0,0.0,0.447213595499958
Shahrestani_2015,0.5477225575051662,0.0,0.0,0.0,0.0,0.0
Soza_2014,0.0,,,,,
Wisecaver_2023,0.0,,0.0,0.0,0.0,0.0
Wu_2015,0.5477225575051662,0.5477225575051662,,0.0,0.0,0.0
Zhao_2021,0.447213595499958,,,,0.0,0.0
