network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.0,0.0,0.0,0.0
Brysting_2007,0.0,0.0,0.4472135954999579,0.8944271909999159
Diaz-Perez_2018,0.0,0.0,0.0,0.0
Ding_2023,0.5477225575051661,0.8366600265340756,0.5477225575051662,0.5477225575051662
Hori_2014,0.0,0.0,0.0,0.0
Koenen_2020,0.0,0.447213595499958,1.1401754250991378,1.0
Lawrence_2016,0.0,0.0,0.0,0.0
Liang_2019,0.0,0.0,0.0,0.4472135954999579
Liu_2023,0.0,0.0,0.447213595499958,0.0
Marcussen_2011,0.0,0.0,0.0,0.0
Marcussen_2012,0.0,,,
Marcussen_2015,0.0,,,
Popp_2005,0.0,0.0,0.0,0.0
Ren_2024,0.0,0.0,1.3416407864998738,0.0
Sessa_2012b,0.0,,,0.0
Shahrestani_2015,0.0,0.0,0.0,0.0
Soza_2014,0.0,,,
Wisecaver_2023,0.0,0.0,0.0,0.0
Wu_2015,0.0,0.0,0.0,0.0
Zhao_2021,0.0,0.8944271909999159,2.7386127875258306,0.8944271909999159
